2025-07-15 11:54:35.286 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:108 - maas/ext/maas/scripts/optimized/GSM8K/train/round_1
2025-07-15 11:54:35.297 | INFO     | maas.ext.maas.scripts.optimizer:optimize:84 - Error occurred: Expecting value: line 2 column 1 (char 1). Retrying... (Attempt 1/1)
2025-07-15 11:54:35.297 | INFO     | maas.ext.maas.scripts.optimizer:optimize:86 - Max retries reached. Moving to next round.
2025-07-15 11:54:40.297 | INFO     | maas.ext.maas.scripts.optimizer:optimize:96 - Score for round 1: None
2025-07-15 11:57:05.685 | INFO     | maas.ext.maas.scripts.optimizer:_optimize_graph_maas:108 - maas/ext/maas/scripts/optimized/GSM8K/train/round_1
2025-07-15 11:57:06.467 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:124 - Starting training repetition 1/4
2025-07-15 11:57:26.848 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-15 11:57:26.960 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-15 11:57:27.642 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-15 11:57:27.740 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: '-2'
2025-07-15 11:57:27.740 | INFO     | maas.ext.maas.benchmark.benchmark:evaluate_all_problems:172 - Repetition 1: Batch 1 Loss does not require grad and was skipped.
2025-07-15 11:57:48.002 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-07-15 11:57:48.133 | INFO     | maas.ext.maas.benchmark.gsm8k:evaluate_problem:63 - Maximum retries reached. Skipping this sample. Error: '-2'
